Date,vib
2020/10/6,0.042
2020/10/6,0.036
2020/10/6,0.03
2020/10/6,0.066
2020/10/6,0.066
2020/10/6,0.121
2020/10/6,0.298
2020/10/6,0.078
2020/10/6,0.439
2020/10/6,0.811
2020/10/6,0.329
2020/10/6,0.445
2020/10/6,0.725
2020/10/6,0.414
2020/10/6,0.329
2020/10/6,0.255
2020/10/6,0.097
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.054
2020/10/6,0.03
2020/10/6,0.42
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,1.037
2020/10/6,0.457
2020/10/6,0.28
2020/10/6,0.5
2020/10/6,0.03
2020/10/6,0.255
2020/10/6,0.255
2020/10/6,0.31
2020/10/6,1.299
2020/10/6,0.365
2020/10/6,0.725
2020/10/6,0.237
2020/10/6,0.64
2020/10/6,0.274
2020/10/6,0.03
2020/10/6,0.066
2020/10/6,0.31
2020/10/6,0.03
2020/10/6,0.127
2020/10/6,0.127
2020/10/6,0.176
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.133
2020/10/6,0.097
2020/10/6,1.018
2020/10/6,0.072
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.048
2020/10/6,0.03
2020/10/6,0.542
2020/10/6,1.806
2020/10/6,0.89
2020/10/6,0.445
2020/10/6,0.109
2020/10/6,0.365
2020/10/6,0.146
2020/10/6,0.555
2020/10/6,0.078
2020/10/6,0.115
2020/10/6,0.115
2020/10/6,0.365
2020/10/6,0.078
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.042
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.03
2020/10/6,0.091
2020/10/6,0.03
